cnumber,ibu,abv,style,bcity
1,0.00,0.51,0.12336,0.12280
1,0.00,0.77,0.46564,0.12280
1,0.00,0.48,0.56246,0.12280
1,0.00,0.70,0.21484,0.12280
1,0.00,0.72,0.29501,0.12280
1,0.00,0.66,0.40722,0.12280
1,0.00,0.43,0.21484,0.12280
1,0.00,0.47,0.45666,0.12280
1,0.00,0.00,0.10891,0.00398
1,0.00,0.35,0.54860,0.20046
1,0.00,0.35,0.54860,0.20046
1,0.00,0.41,0.31309,0.20046
1,0.00,0.41,0.31309,0.20046
1,0.00,0.00,0.42990,0.38515
1,0.00,0.77,0.44110,0.38515
1,0.29,0.41,0.44110,0.38515
1,0.00,0.41,0.27241,0.45010
1,0.00,0.53,0.44583,0.11811
1,0.00,0.38,0.34718,0.11811
1,0.00,0.73,0.59215,0.15902
1,0.00,0.38,0.27293,0.15902
1,0.00,0.60,0.44583,0.15902
1,0.00,0.76,0.46637,0.15902
1,0.00,0.47,0.21017,0.34364
1,0.12,0.30,0.22714,0.34364
1,0.18,0.42,0.56246,0.34364
1,0.18,0.42,0.56246,0.34364
1,0.17,0.46,0.52939,0.09981
1,0.00,0.40,0.27293,0.09981
1,0.00,0.44,0.17396,0.10545
1,0.00,0.41,0.44583,0.10545
1,0.00,0.37,0.55751,0.10545
1,0.00,0.55,0.52939,0.10545
1,0.00,0.37,0.55751,0.10545
1,0.00,0.41,0.44583,0.10545
1,0.00,0.44,0.17396,0.10545
1,0.12,0.38,0.55751,0.15969
1,0.12,0.61,0.02077,0.15969
1,0.00,0.42,0.21017,0.10545
1,0.00,0.00,0.50002,0.27581
1,0.14,0.39,0.17396,0.27581
1,0.29,0.39,0.34732,0.34364
1,0.18,0.35,0.31309,0.34364
1,0.29,0.39,0.34732,0.34364
1,0.00,0.35,0.27293,0.11450
1,0.06,0.51,0.16544,0.11450
1,0.00,0.35,0.59469,0.11450
1,0.08,0.45,0.16544,0.45907
1,0.00,0.41,0.34732,0.45907
1,0.22,0.38,0.43721,0.28929
1,0.00,0.39,0.52088,0.02198
1,0.00,0.39,0.52088,0.02198
1,0.00,0.38,0.47746,0.23128
1,0.00,0.47,0.14150,0.23128
1,0.00,0.35,0.55751,0.23128
1,0.00,0.48,0.27241,0.23128
1,0.00,0.51,0.44583,0.23128
1,0.00,0.30,0.47746,0.23128
1,0.00,0.45,0.16544,0.10690
1,0.00,0.39,0.27293,0.01449
1,0.23,0.47,0.56246,0.00775
1,0.17,0.41,0.27293,0.00775
1,0.00,0.42,0.55751,0.44868
1,0.00,0.62,0.02077,0.44868
1,0.00,0.49,0.44583,0.44868
1,0.00,0.43,0.49598,0.25654
1,0.34,0.45,0.03435,0.38670
1,0.00,0.55,0.44583,0.23421
1,0.00,0.39,0.21017,0.23421
1,0.19,0.38,0.31309,0.28929
1,0.00,0.39,0.22714,0.04482
1,0.00,0.41,0.16544,0.23421
1,0.00,0.39,0.49598,0.23421
1,0.00,0.48,0.44583,0.23421
1,0.00,0.31,0.41332,0.20046
1,0.00,0.66,0.46637,0.20046
1,0.00,0.21,0.44583,0.20046
1,0.14,0.35,0.02077,0.11773
1,0.42,0.55,0.14557,0.00775
1,0.15,0.39,0.45666,0.00775
1,0.15,0.39,0.65336,0.00775
1,0.15,0.39,0.27293,0.00775
1,0.00,0.63,0.46637,0.46441
1,0.00,0.64,0.46637,0.46441
1,0.22,0.43,0.21017,0.46441
1,0.00,0.35,0.51696,0.09142
1,0.33,0.43,0.07331,0.09142
1,0.15,0.38,0.27293,0.09142
1,0.21,0.37,0.49598,0.30378
1,0.00,0.31,0.21017,0.15648
1,0.00,0.61,0.21484,0.31531
1,0.00,0.47,0.44583,0.31531
1,0.00,0.51,0.21017,0.31531
1,0.00,0.41,0.45666,0.22258
1,0.00,0.48,0.44583,0.22258
1,0.00,0.35,0.44583,0.22258
1,0.00,0.51,0.44583,0.22258
1,0.00,0.52,0.44583,0.22258
1,0.00,0.41,0.55751,0.22258
1,0.00,0.69,0.59215,0.22258
1,0.00,0.40,0.31309,0.22258
1,0.00,0.00,0.56246,0.15289
1,0.14,0.37,0.10891,0.36746
1,0.12,0.44,0.56246,0.36746
1,0.13,0.36,0.27293,0.36746
1,0.31,0.37,0.44583,0.12280
1,0.00,0.43,0.28994,0.40994
1,0.00,0.39,0.45666,0.40994
1,0.00,0.47,0.44583,0.40994
1,0.00,0.47,0.21017,0.08922
1,0.21,0.39,0.10891,0.08922
1,0.00,0.31,0.44583,0.28929
1,0.26,0.51,0.21484,0.28929
1,0.24,0.41,0.27293,0.38209
1,0.26,0.45,0.21484,0.31668
1,0.00,0.39,0.27293,0.31668
1,0.09,0.55,0.21017,0.08126
1,0.14,0.47,0.10891,0.28213
1,0.40,0.47,0.28994,0.13269
1,0.00,0.39,0.10891,0.48514
1,0.00,0.41,0.43721,0.48514
1,0.16,0.34,0.10891,0.18250
1,0.16,0.38,0.59469,0.18250
1,0.00,0.48,0.10891,0.23421
1,0.00,0.55,0.44583,0.23421
