cnumber,ibu,abv,style,bcity
Шум,0.00,0.55,0.91996,0.67730
Шум,0.00,0.48,0.44583,0.67730
Шум,0.00,0.40,0.92735,0.67730
Шум,0.00,0.41,0.60787,0.67730
Шум,0.00,0.41,0.44110,0.67730
Шум,0.00,0.62,0.46637,0.00775
Шум,0.00,0.50,0.21484,0.00775
Шум,0.31,0.37,0.60787,0.00775
Шум,0.08,0.44,0.55751,0.00775
Шум,0.50,0.49,0.44583,0.00775
Шум,0.13,0.43,0.87150,0.00775
Шум,0.13,0.48,0.14150,0.00567
Шум,0.17,0.56,0.34410,0.00567
Шум,0.17,0.38,0.10891,0.00567
Шум,0.00,0.52,0.44583,0.00567
Шум,0.04,0.72,0.29501,0.00567
Шум,0.30,0.48,0.56246,0.00567
Шум,0.00,0.67,0.46637,0.97172
Шум,0.00,0.47,0.21017,0.97172
Шум,0.00,0.39,0.56246,0.97172
Шум,0.00,0.47,0.59469,0.49538
Шум,0.32,0.47,0.92735,0.49538
Шум,0.28,0.34,0.92735,0.18473
Шум,0.00,0.55,0.44583,0.06167
Шум,0.29,0.30,0.44583,0.06167
Шум,0.17,0.41,0.27293,0.06167
Шум,0.55,0.55,0.44583,0.06167
Шум,0.00,0.36,0.27241,0.06167
Шум,0.00,0.35,0.74375,0.89526
Шум,0.15,0.35,0.86517,0.89526
Шум,0.33,0.27,0.56246,0.89526
Шум,0.34,0.55,0.44583,0.34076
Шум,0.44,0.47,0.44583,0.13182
Шум,0.00,0.35,0.70848,0.13182
Шум,0.17,0.38,0.43721,0.72720
Шум,0.44,0.52,0.44583,0.72720
Шум,0.45,0.53,0.49598,0.72720
Шум,0.15,0.39,0.55751,0.72720
Шум,0.33,0.40,0.02292,0.72720
Шум,0.40,0.42,0.88839,0.41803
Шум,0.51,0.52,0.44583,0.41803
Шум,0.21,0.39,0.44110,0.41803
Шум,0.35,0.42,0.60787,0.41803
Шум,0.00,0.41,0.88839,0.37830
Шум,0.31,0.55,0.94546,0.37830
Шум,0.00,0.37,0.10891,0.37830
Шум,0.00,0.53,0.10700,0.37830
Шум,0.00,0.52,0.86517,0.37830
Шум,0.00,0.37,0.10891,0.37830
Шум,0.26,0.43,0.56246,0.37830
Шум,0.21,0.38,0.92735,0.37830
Шум,0.78,0.69,0.46637,0.97507
Шум,0.08,0.39,0.16544,0.19522
Шум,0.33,0.45,0.92735,0.19522
Шум,0.62,0.53,0.44583,0.19522
Шум,0.12,0.38,0.72489,0.19522
Шум,0.00,0.45,0.10891,0.08126
Шум,0.00,0.39,0.55751,0.08126
Шум,0.00,0.45,0.10891,0.08126
Шум,0.00,0.55,0.44583,0.08126
Шум,0.32,0.34,0.99980,0.30675
Шум,0.00,0.65,0.46637,0.30675
Шум,0.20,0.45,0.70848,0.30675
Шум,0.00,0.47,0.91996,0.16937
Шум,0.63,0.56,0.44583,0.16937
Шум,0.24,0.44,0.74375,0.16937
Шум,0.50,0.48,0.44583,0.16937
Шум,0.25,0.47,0.91996,0.16937
Шум,0.28,0.39,0.60787,0.16937
Шум,0.29,0.43,0.99980,0.06874
Шум,0.15,0.41,0.92735,0.06874
Шум,0.00,0.61,0.44583,0.94047
Шум,0.00,0.37,0.07331,0.94047
Шум,0.00,0.50,0.21017,0.94047
Шум,0.00,0.44,0.94546,0.94047
Шум,0.00,0.47,0.70848,0.94047
Шум,0.13,0.63,0.39309,0.49917
Шум,0.76,0.74,0.46637,0.49917
Шум,0.00,0.32,0.88839,0.49917
Шум,0.62,0.52,0.56246,0.49917
Шум,0.00,0.51,0.14557,0.24244
Шум,0.00,0.47,0.21484,0.24244
Шум,0.40,0.62,0.14557,0.71096
Шум,0.00,0.48,0.44583,0.71096
Шум,0.00,0.47,0.16544,0.31780
Шум,0.44,0.59,0.44583,0.31780
Шум,0.24,0.39,0.07331,0.60355
Шум,0.40,0.47,0.44583,0.60355
Шум,0.29,0.39,0.81990,0.97704
Шум,0.26,0.39,0.10891,0.97704
Шум,0.19,0.40,0.87150,0.97704
Шум,0.44,0.56,0.77375,0.97704
Шум,0.19,0.40,0.87150,0.97704
Шум,0.26,0.39,0.10891,0.97704
Шум,0.29,0.39,0.81990,0.97704
Шум,0.26,0.39,0.10891,0.97704
Шум,0.19,0.40,0.87150,0.97704
Шум,0.59,0.54,0.44583,0.50917
Шум,0.28,0.45,0.56246,0.50917
Шум,0.32,0.41,0.92735,0.73041
Шум,0.62,0.77,0.86517,0.73041
Шум,0.55,0.77,0.46637,0.73041
Шум,0.26,0.43,0.28994,0.73041
Шум,0.37,0.52,0.44583,0.73041
Шум,0.33,0.43,0.92735,0.74719
Шум,0.00,0.41,0.87150,0.48833
Шум,0.00,0.49,0.92735,0.48833
Шум,0.00,0.42,0.70848,0.48833
Шум,0.55,0.56,0.86517,0.59357
Шум,0.12,0.35,0.70848,0.47691
Шум,0.26,0.59,0.44583,0.47691
Шум,0.06,0.39,0.94546,0.47691
Шум,0.32,0.45,0.92735,0.47691
Шум,0.60,0.55,0.39309,0.23421
Шум,0.33,0.55,0.21017,0.23421
Шум,0.25,0.61,0.21484,0.23421
Шум,0.32,0.52,0.56246,0.23421
Шум,0.12,0.38,0.87150,0.12772
Шум,0.15,0.36,0.56246,0.12772
Шум,0.00,0.57,0.86517,0.95633
Шум,0.35,0.38,0.44583,0.95633
Шум,0.22,0.47,0.10700,0.95633
Шум,0.00,0.41,0.10891,0.95633
Шум,0.00,0.53,0.87150,0.95633
Шум,0.37,0.55,0.44583,0.95633
Шум,0.00,0.43,0.17396,0.95633
Шум,0.00,0.39,0.10891,0.47994
Шум,0.00,0.00,0.43721,0.47994
Шум,0.00,0.43,0.87150,0.47994
Шум,0.00,0.62,0.56246,0.47994
Шум,0.00,0.75,0.46637,0.47994
Шум,0.00,0.41,0.60787,0.47994
Шум,0.00,0.00,0.46637,0.47994
Шум,0.00,0.39,0.14557,0.47994
Шум,0.00,0.50,0.21484,0.47994
Шум,0.00,0.35,0.92735,0.47994
Шум,0.27,0.44,0.74375,0.47994
Шум,0.27,0.44,0.74375,0.47994
Шум,0.27,0.44,0.74375,0.47994
Шум,0.26,0.36,0.92735,0.47994
Шум,0.00,0.46,0.97740,0.05912
Шум,0.00,0.46,0.97740,0.05912
Шум,0.58,0.62,0.46637,0.15988
Шум,0.44,0.46,0.92735,0.18677
Шум,0.22,0.51,0.74375,0.18677
Шум,0.17,0.41,0.77650,0.18677
Шум,0.44,0.46,0.92735,0.18677
Шум,0.12,0.38,0.27293,0.73312
Шум,0.00,0.00,0.14557,0.67730
Шум,0.00,0.00,0.10891,0.67730
Шум,0.00,0.00,0.56246,0.67730
Шум,0.00,0.00,0.92735,0.67730
Шум,0.00,0.55,0.91996,0.05813
Шум,0.29,0.47,0.05216,0.05813
Шум,0.21,0.43,0.95766,0.05813
Шум,0.00,0.41,0.34732,0.08564
Шум,0.00,0.31,0.44110,0.08564
Шум,0.00,0.39,0.07331,0.08564
Шум,0.00,0.43,0.17396,0.45123
Шум,0.00,0.47,0.87150,0.45123
Шум,0.22,0.33,0.44583,0.37136
Шум,0.25,0.31,0.07392,0.37136
Шум,0.00,0.40,0.27241,0.89206
Шум,0.20,0.35,0.27241,0.89206
Шум,0.17,0.59,0.96786,0.25839
Шум,0.22,0.38,0.07331,0.25839
Шум,0.19,0.44,0.34410,0.25839
Шум,0.68,0.55,0.99980,0.25839
Шум,0.00,0.37,0.70848,0.25839
Шум,0.00,0.37,0.70848,0.25839
Шум,0.00,0.37,0.70848,0.25839
Шум,0.28,0.38,0.74375,0.25839
Шум,0.00,0.38,0.54010,0.25839
Шум,0.33,0.41,0.92735,0.25839
Шум,0.00,0.50,0.52939,0.25839
Шум,0.00,0.48,0.21017,0.25839
Шум,0.00,0.45,0.92735,0.25839
Шум,0.00,0.45,0.87150,0.25839
Шум,0.00,0.38,0.07331,0.25839
Шум,0.00,0.38,0.70848,0.25839
